sigel,archivname
"Aach7k10","Bischöfliches Diözesanarchiv Aachen"
"Aich5bw0","Stadtarchiv Aichtal im Kreisarchiv Esslingen"
"Aken8e10","Pfarrarchiv Aken/Elbe"
"Albd4bw0","Kreisarchiv Alb-Donau-Kreis"
"Albs5bw0","Stadtarchiv Albstadt"
"Alfh8k10","Pfarrarchiv Alfhausen, St. Johann - SG Bersenbrück"
"Altd8e10","Pfarrarchiv Altendambach"
"Alte3th0","Thüringisches Staatsarchiv Altenburg"
"Alte5th0","Stadtarchiv Altenburg"
"Alte8e10","Pfarrarchiv Altenbeichlingen"
"Alth8e10","Archiv des Kirchenkreises Alt-Hamburg"
"Altp8e10","Pfarrarchiv Altenplathow"
"Alze5rp0","Stadtarchiv Alzey"
"Ambe3ba0","Staatsarchiv Amberg"
"Ange5bb0","Stadtarchiv o[Angermünde]o"
"Annw5rp0","Stadtarchiv Annweiler am Trifels"
"Ansb5ba0","Stadtarchiv Ansbach"
"Apol5th0","Stadtarchiv Apolda"
"Arns4th0","Kreisarchiv Arnstadt"
"Arte5th0","Stadtarchiv Artern"
"Arzb5ba0","Stadtarchiv Arzberg"
"Asch5sa0","Stadtarchiv Aschersleben"
"Asch8e10","Pfarrarchiv Aschersleben St. Margarethen"
"Asch8e20","Pfarrarchiv Aschersleben, ref."
"Auer5sn0","Stadtarchiv Auerbach"
"Auez8e10","Pfarrarchiv Aue-Zeitz"
"Augs3ba0","Staatsarchiv Augsburg"
"Augs5ba0","Stadtarchiv Augsburg"
"Augs7k10","Archiv des Bistums Augsburg"
"Auri3ns0","Niedersächsisches Staatsarchiv Aurich"
"Bade5bw0","Stadtarchiv im Baldreit"
"Badl5th0","Stadtarchiv Bad Langensalza"
"Bali5bw0","Stadtarchiv Balingen"
"Ball8e10","Pfarrarchiv Ballersbach"
"Bamb3ba0","Staatsarchiv Bamberg"
"Bamb5ba0","Stadtarchiv Bamberg"
"Bamb6k10","Archiv des Erzbistums Bamberg"
"Bann8k10","Archiv der katholischen Kirchengemeinde Bann"
"Batt8e10","Pfarrarchiv Battgendorf"
"Batz3sn0","Staatsarchiv Dresden, Außenstelle Bautzen"
"Baut2sn0","Sächsisches Hauptstaatsarchiv Dresden"
"Baut5sn0","Stadtarchiv Bautzen"
"Baut7k10","Archiv des Domkapitels und des Bischöflichen Ordinariats des Bistums Dresden-Meißen"
"Baye8k10","Archiv der katholischen Kirchengemeinde Bayerfeld"
"Bayr5ba0","Stadtarchiv Bayreuth"
"Bber5rp0","Stadtarchiv Bad Bergzabern"
"Bees5bb0","Stadtarchiv Beeskow"
"Beis1xx0","Thüringisches Staatsarchiv Altenburg"
"Beli1be0","Bundesarchiv"
"Berg4mv0","Kreisarchiv Bergen"
"Berl1be0","Bundesarchiv"
"Berl3be0","Landesarchiv Berlin"
"Berl6e10","Evangelisches Zentralarchiv Berlin"
"Berl7e10","Landeskirchliches Archiv der Evangelischen Kirche in Berlin-Brandenburg"
"Berl7k10","Diözesanarchiv Berlin"
"Bern5bb0","Stadtarchiv o[Bernau]o"
"Bern5sa0","Stadtarchiv Bernburg"
"Bers8k10","Pfarrarchiv Bersenbrück, St. Vincentius"
"Bert8e10","Archiv der Ev.-Luth. Kirchgemeinde Berthelsdorf"
"Besi5bw0","Stadtarchiv Besigheim"
"Bibe4bw0","Kreiskultur- und Archivamt Biberach"
"Bibe5bw0","Stadtarchiv Biberach im Kreiskultur- und Archivamt Biberach"
"Bieb8e10","Archiv der Ev.-Luth. Kirchgemeinde Bieberstein"
"Biel5nw0","Stadtarchiv und Landesgeschichtliche Bibliothek Bielefeld"
"Biel7e10","Landeskirchliches Archiv Bielefeld"
"Biel8e10","Pfarrarchiv Bielefeld (ref.)"
"Biet5bw0","Stadtarchiv Bietigheim-Bissingen"
"Bisc5sn0","Stadtarchiv Bischofswerda"
"Bitt5sa0","Stadtarchiv Bitterfeld"
"Bkoe5ba0","Stadtarchiv Bad Königshofen"
"Bkre5rp0","Stadtarchiv Bad Kreuznach"
"Boch5nw0","Stadtarchiv Bochum"
"Bonn5nw0","Stadtarchiv und Wissenschaftliche Stadtbibliothek Bonn"
"Borg8e10","Pfarrarchiv Borgeln"
"Bori8e10","Archiv der Ev.-Luth. Vereinigten Kirchgemeinde Prausitz mit SK Boritz-Leutewitz"
"Brab8e10","Pfarrarchiv Gnadenkirche Braunsbedra in der Kirchengemeinde Braunsbedra-Großkayna"
"Brac8e10","Pfarrarchiv Brackwede"
"Bran5bb0","Stadtarchiv Brandenburg"
"Brar8e10","Pfarrarchiv Braunsroda"
"Brau7e10","Landeskirchliches Archiv"
"Brei5bw0","Stadtarchiv Breisach"
"Brem3hb0","Staatsarchiv Bremen"
"Brem7e10","Bremische Evangelische Kirche "
"Bret8e10","Pfarrarchiv Bretleben im Kirchspiel Heldrungen-Artern"
"Broc8e10","Pfarrarchiv Brochterbeck"
"Brom8e10","Pfarrarchiv Bromskirchen"
"Bsae5bw0","Stadtarchiv Bad Säckingen"
"Btoe5ba0","Stadtarchiv Bad Tölz"
"Bube5ba0","Stadtarchiv Burgbernheim"
"Buch8e10","Pfarrarchiv Buchholz"
"Buec3ns0","Niedersächsisches Staatsarchiv Bückeburg"
"Buec8e10","Pfarrarchiv Büchel im Kirchspiel Weißensee"
"Buer8e10","Pfarrarchiv Büren"
"Buha5ba0","Stadtarchiv Burghausen"
"Burg4sa0","Kreis- und Stadtarchiv o[Burg]o"
"Burg8e10","Pfarrarchiv Burg, St. Nicolai"
"Bwin5ba0","Stadtarchiv Bad Windsheim"
"Cell5ns0","Stadtarchiv Celle"
"Cham5ba0","Stadtarchiv Cham"
"Chem2sn0","Sächsisches Hauptstaatsarchiv Dresden"
"Chem5sn0","Stadtarchiv Chemnitz"
"Cobu3ba0","Staatsarchiv Coburg"
"Cobu5ba0","Stadtarchiv Coburg"
"Coch5rp0","Stadtarchiv Cochem"
"Coch8e10","Pfarrarchiv Cochstedt"
"Cott5bb0","Stadtarchiv Cottbus"
"Cott8e10","Archiv der Ev.-Luth. Kirchgemeinde Cotta"
"Crim5sn0","Stadtarchiv Crimmitschau"
"Dahl3be0","Geheimes Staatsarchiv Preußischer Kulturbesitz"
"Darm3he0","Hessisches Staatsarchiv Darmstadt"
"Darm5he0","Stadtarchiv Darmstadt"
"Darm6e10","Zentralarchiv der Evangelischen Kirche in Hessen und Nassau"
"Dede8e10","Evangelisch-Lutherisches Kirchengemeindearchiv Dedesdorf"
"Degg5ba0","Stadtarchiv Deggendorf"
"Deid5rp0","Stadtarchiv Deidesheim"
"Dess7e10","Archiv der Evangelischen Landeskirche Anhalts"
"Detm3nw0","Nordrhein-Westfälisches Staatsarchiv Detmold"
"Detm7e10","Archiv der Lippischen Landeskirche"
"Ding5ba0","Stadtarchiv Dingolfing"
"Dink5ba0","Stadtarchiv Dinkelsbühl"
"Dins5nw0","Stadtarchiv Dinslaken"
"Dona5ba0","Stadtarchiv Donauwörth"
"Dort5nw0","Stadtarchiv Dortmund"
"Dres2sn0","Sächsisches Hauptstaatsarchiv Dresden"
"Dres5sn0","Stadtarchiv Dresden"
"Dres7e10","Landeskirchenarchiv der Evangelisch-Lutherischen Landeskirche Sachsens"
"Drho8e10","Archiv der Ev.-Luth. Kirchgemeinde Dresden-Hosterwitz, Maria am Wasser"
"Drzs8e10","Archiv der Ev.-Luth. Kirchgemeinde Dresden-Zschachwitz, Stephanuskirche"
"Duer4nw0","Stadt- und Kreisarchiv Düren"
"Dues2nw0","Nordrhein-Westfälisches Hauptstaatsarchiv Düsseldorf"
"Dues5nw0","Stadtarchiv Düsseldorf"
"Dues7e10","Archiv der Evangelischen Kirche im Rheinland"
"Duis5nw0","Stadtarchiv Duisburg"
"Eber4bb0","Kreis- und Stadtarchiv o[Eberswalde]o"
"Eber5bw0","Stadtarchiv Eberbach"
"Egge5ba0","Stadtarchiv Eggenfelden"
