"","Dahl3be0 / I. HA, Rep. 84a (2.5.1.) (M) / Nr. 15057"
"","Darm3he0 / 047 / Nr. 240"
"","Dres2sn0 / II.3.1.07 Landesregierung / Bibliotheken und Büchersachen / Loc. 14195"
"","Karl3bw0 / 19 / <-> / Nr. 296"
"","Mann5bw0 / Kl.Erw. / Nr. 62"
"","Muen2ba0 / Gesandtschaft Karlsruhe / Förderung von Wissenschaft, Literatur und Kunst, b) / 1563"
"","Rege5ba0 / Ältere Polizeiakten bzw. Familienbögen  / Manz"
"","Stut2bw0 / Ministerium des Innern, E 146 / Privilegien gegen den Nachdruck von Schriften und Abbildungen auch musikalischen Kompositionen, Entschädigungsforderungen wegen Nachdruck, Beschwerden / 5252"
" Leipzig","Dahl3be0 / I. HA, Rep. 89 (2. 2. 1.) (M) / Nr. 15160"
" Stuttgart","Dahl3be0 / I. HA, Rep. 89 (2. 2. 1.) (M) / Nr. 15195"
"""Besorgnisse hinsichtlich der Zweckmäßigkeit unseres Religionsunterrichts"", Broschüre","Spey7k10 / 02 / Nr. 327"
"""Deutsche Kriegsgefangene in der Sowjetunion rufen nach Recht!"", Broschüre","Osna7k10 / 04 / -79 / -60"
"""Die Kämpferin"", Zeitschrift","Frei4sn0 / Rat der Stadt Freital / Polizeiamt / 1341"
"""Katholischen Sonntagsblätter"", Herausgabe der","Spey7k10 / 02 / Nr. 550"
"""Pfälzer Volksboten"", Auflösung des","Spey7k10 / 02 / Nr. 608"
"(Dewangen b. Aalen","Wuer3ba0 / Staatsanwaltschaft Würzburg / 3"
"(Düsseldorf-)Benrath","Dues2nw0 / Gerichte Rep.  65/ / 10. / 318"
"(Köln)","Dues2nw0 / Landratsamt Mülheim (Rhein) / 295"
"(Markt) Schwaben","Muek2ba0 / Stellvertretendes General-Kommando I bayerisches  Armee-Korps / Abt. P VI / 1941"
", < Burg>","Burg4sa0 / Gewerbe und Handel / B 26 a"
", < Schrift>","Leip5sn0 / II. Sekt. / R 1098"
", <Bad Bergzabern>","Bber5rp0 / A / III. / Nr. 14"
", Anschaffung von Büchern, z[16. Juni 1871]z, 2 S. 8, z[24. Juni 1871]z, 2 S. 8, z[6. Juli 1871]z","Mann5bw0 / Kl.Erw. / 21, Nr. 1 - 3"
", Beibehaltung","Berl6e10 / 14 / 925"
", Bernhard, Markgraf","Karl3bw0 / 19 / <-> / Nr. 316"
", Eugen, Prinz","Ludw3bw0 / D 54 / Censierte Schriften Spezialia: durch Localcensoren censierte Schriften - deswegen Anfragen von Localcensor wegen einzelner Schriften / Büschel 82"
", Friedrich Wilhelm III., <König von Preußen>","Dahl3be0 / BPH, Rep. 192, Wittgenstein (D) / V. \\ 5. / Nr. 39"
", Friedrich Wilhelm III., <König von Preußen>","Dahl3be0 / BPH, Rep. 192, Wittgenstein (D) / V. \\ 5. / Nr. 41"
", Gründung","Hamb3hh0 / 111-1 / Cl. VII Lit. Lb / Nr. 16 Vol. 8 Fasc. 7"
", Herzogin","Dahl3be0 / III. HA, Auswärtiges Amt (M) / Sekt. I / Nr. 9308"
", Kiel","Kiel5sh0 / 3. / XIII., 15 / 45342"
", Kiel","Kiel5sh0 / 3. / XIII., 15 / 45343"
", Leitfaden","Detm7e10 / Nachlaß von Cölln / 8"
", Lokalblatt","Zwic5sn0 / V / B5 / 30"
", Mannheim","Mann5bw0 / Katholisches Bürgerhospital Mannheim / Druckerei und Verlag, Privileg, Beschwerden / Zug. 2/1967; Nr. 7"
", Regierungsbezirk Minden","Dahl3be0 / 1. HA Rep. 76 (M) / III, Sekt. 28, Abt. 23 / Nr. 1"
", Regierungsbezirk Wiesbaden","Dahl3be0 / 1. HA Rep. 76 (M) / III, Sekt. 32, Abt. 23 / Nr. 1"
", Werbeschrift","Land3ba0 / 164/20 / Rechtspflege, Öffentliche Sicherheit u. Ordnung, Maßnahmen gegen verfassungsfeindliche Bestrebungen und Organisationen / Nr. 10284"
", Wochenblatt","Olde3ns0 / Best. 31-15- / 36 Nr. 31"
", Zeitschrift","Frei4sn0 / Rat der Stadt Freital / Schulamt / 1942, Bl. 1"
", o[Nürnberg]o","Augs5ba0 / V 1/ / 199 und 633"
", preußische","Dahl3be0 / III. HA, Auswärtiges Amt (M) / Sekt. I / Nr. 545"
", s[Druckschrift]s","Pots2bb0 / Rep. 30 C / Tit. 94 / 12061"
"1851","Dahl3be0 / 1. HA, Rep. 120 (M) / B XIV / Nr. 20"
"25. Juli 1803","Main6k10 / Dotation / Nr. V/ / 19. 9"
"< Arnstadt>","Arns4th0 / Arnstadt / 301/01"
"< Arnstadt>","Arns4th0 / Arnstadt / 301/02"
"< Arnstadt>","Arns4th0 / Arnstadt / 827/02/1"
"< Arnstadt>","Arns4th0 / Arnstadt / 827/02/2"
"< Arnstadt>","Arns4th0 / Arnstadt / 827/2"
"< Aschersleben>","Asch5sa0 / III / F., 10 / Nr. 44"
"< Aschersleben>","Asch5sa0 / III / F., 7 / Nr. 39"
"< Braunschweig>","Wolf3ns0 / 298 N / 375"
"< Braunschweig>","Wolf3ns0 / 298 N / 376"
"< Braunschweig>","Wolf3ns0 / 303 N / II.11. / Nr. 139"
