" < 3. Ehefrau>","Darm3he0 / 055 / F / 2788/17"
" < <der Große>>","Dahl3be0 / 1. HA Rep. 76 (M) / Vc, Sekt. 1 Gen., Tit. XI, Teil VB / Nr. 2"
" < Bischof>","Rege6k10 / OA / 424"
" < Breve Papst>","Mues7k10 / Generalvikariat / IV A 124"
" < Ehefrau>","Darm3he0 / 055 / F / 2344/5"
" < Erzbischof<von Köln>>","Koel7k10 / CR I / 6. / 17"
" < Großherzog von Baden>","Stut2bw0 / Ministerium der Auswärtigen Angelegenheiten mit Gesandtschaften und Verkehrswesen, E 41 / Polizeisachen / 193"
" < Saarbrücker Druckerei und Verlag>","Saar3sl0 / E, Depositum SVD / Personalakten / 247"
" < Saarbrücker Druckerei und Verlag>","Saar3sl0 / E, Depositum SVD / Personalakten / 248"
" < Witwe>","Darm3he0 / 055 / F / 2868/32"
" < XII.>","Main6k10 / Domkapitel / Nr. A 5. 1, 12"
" < geschiedene Ehefrau>","Darm3he0 / 055 / F / 2653/4"
" <>","Berl3be0 / 51 / Nr. 504"
" <>","Dahl3be0 / I. HA Rep. 77(M) / Tit. 2, Lit. M / Nr. 31"
" <>","Dahl3be0 / I. HA Rep. 77(M) / Titel 338 / Nr. 4"
" <>","Muen2ba0 / Ministerialextradiktion 1921 IV. / Spez. Rep. Literatur, b) / 71265"
" <>","Pots2bb0 / Rep. 30 C / Tit.95, Sekt.3  / 14634"
" <>","Pots2bb0 / Rep. 30 C / Tit.95, Sekt.3  / 14696"
" <>","Teck8e10 / 01 / G / 1, Bd. 3"
" <Baden>","Muen2ba0 / Gesandtschaft Karlsruhe / Erwerb von Wissenschaftl. und künstl. Werken und Sammlungen, a) / 1667"
" <Berlin>","Muen2ba0 / Ministerialextradiktion 1921 IV. / Spez. Rep. Literatur, b) / 71395"
" <Buchdrucker>","Noer5ba0 / D / 2. / Bd. 2"
" <Buchhändler in Halle>","Hann2ns0 / Hann 113 / K I / Nr. 1612"
" <Buchhändler in Stuttgart>","Stut2bw0 / Ministerium des Innern, E 146 / Privilegien gegen den Nachdruck von Schriften und Abbildungen auch musikalischen Kompositionen, Entschädigungsforderungen wegen Nachdruck, Beschwerden / 5427"
" <Buchhändler>","Hofx5ba0 / F / III/145 / 1"
" <Buchhändler>","Leip5sn0 / II. Sekt. / H 1290"
" <Drucker in Vorschoden in Holland Rentier>","Muen2ba0 / Ministerialextradiktion 1921 IV. / Spez. Rep. Literatur, b) / 71216"
" <Erzbischof>","Bamb5ba0 / D 2002 / H. / Nr. 33"
" <Freiburg i.Br.>","Muen2ba0 / Ministerialextradiktion 1921 IV. / Spez. Rep. Literatur, b) / 71396"
" <Hauptmann in Gelbke>","Stut2bw0 / Ministerium des Innern, E 146 / Zensurwesen, Pressegesetze, Presse-Freiheit / 4733, Unterfaszikel 7"
" <Kloster Waldsassen Pater>","Ambe3ba0 / Landesdirektion Amberg / Nr. 694"
" <Konsularagent v. Frankreich in Trier>","Trie5rp0 / Tb / Pläne, Besatzungszeit / 23"
" <Oberfranken Regierungspräsident>","Bamb3ba0 / K3 / Ordenswesen / Nr. 1250"
" <Offenbach Witwe>","Darm3he0 / 055 / F / 1978/19"
" <Pastor in Osterode>","Hann2ns0 / Hann 33 c / 1019"
" <Pfarrer in Neckarau>","Karl3bw0 / 19 / <-> / Nr. 259"
" <Rechtskonsulent in Göppingen>","Stut2bw0 / Ministerium des Innern, E 146 / Zensurwesen, Zensursachen von Buchhandlungen, Buchdruckereien, Antiquaren, Leihbibliotheken, usw. / 5066"
" <Redacteur>","Hann2ns0 / Hann 26 a / 2826"
" <Redakteur des Hochwächters>","Stut2bw0 / Ministerium des Innern, E 146 / Buchhandlungen, Buchdruckereien, Antiquariate, Leihbibliotheken, Steindruckereien usw. in folgenden Oberämtern / 5103 Unterfaszikel 6"
" <Redakteur in Basel>","Karl3bw0 / 19 / <-> / Nr. 346"
" <Redakteur>","Mann5bw0 / Kl.Erw. / Nr. 206, 1 - 2"
" <Reichsschatzmeister>","Beli1be0 / NS 19 / C 10.4.4 / 2880"
" <Verleger und Buchhändler in Paris>","Muen2ba0 / Gesandtschaft Paris / Gewerbe und Industrie, b) / 6062"
" <von Passau Bischof>","Rege6k10 / OA / 423"
" Delbrück < Regierungsra>","Dues2nw0 / Oberpräsidium Köln / IV.9. / Nr. 807"
" Sundelin, A <Kammermusikus in Berlin>","Dahl3be0 / I. HA Rep. 77(M) / Tit. 2, Lit. D / Nr. 11"
"""Rotes Preussen""}, kommunistischen Zeitung < M<itglied>.d<es>.L<andtages>.>","Berl3be0 / 51 / Nr. 1131"
"$*, Carl Rudolph (Dr.iur.) <Buchhändler in Leipzig>","Beis1xx0 / Landesregierung zu Altenburg, Landesarchiv / XI Polizeisachen \\ K, Die Polizei des Handels / Nr. 8453"
"* (Dr.) <Riedlingen Unteramtsrat>","Stut2bw0 / Ministerium des Innern, E 146 / Zensurwesen, Presse / 4707"
"* <Lehrer in Karlsruhe>","Stut2bw0 / Ministerium des Innern, E 146 / Zensurwesen, Presse / 4709"
"< Anderegg>, Hans (Prof.) <Bern>","Karl3bw0 / 19 / <-> / Nr. 151"
"< Auerbach>, Eugen Berthold <Rechtsanwalt in Berlin>","Karl3bw0 / 19 / <-> / Nr. 153"
"< Auerbach>, Rudolf Berthold <Bankbeamten>","Karl3bw0 / 19 / <-> / Nr. 153"
"< Grimm>, Wilhelm (< Prof.>Dr.) <Berlin>","Leip5sn0 / II. Sekt. / G 1274"
"< Kühn>, Georg <Buchhändler in Berlin Hoflieferant 1887 - 1912<, Sohn von Reinhold Kühn>>","Schw2mv0 / 4.3-1 Mecklenburg-Strelitzsches Fürstenhaus mit Kabinett / Kabinettsakten, Hofhandwerker, Hoflieferanten / Nr. I.187"
"< Liebeskind>, August Heinrich << Wien> Sohn< von August Gottlob Liebeskind, Kommissionär der Buchhandlung Singer & Goering>>","Leip5sn0 / Tit. XLVI / Nr. 124c"
"< Richter>, < Jean Paul Friedrich> <>","Dahl3be0 / III. HA, Auswärtiges Amt (M) / Sekt. III / 18645"
"<Bergsträßer>, Julie < Ehefrau>","Darm3he0 / 055 / F / 2961/5"
"<Bergsträßer>, Julie <Buchdruckereibesitzer geb. Wiener>","Darm3he0 / 055 / F / 2961/5"
"<Bernhard>, <Henry> < <Chefredakteur der ""<Stuttgarter Nachrichten>>>","Stut5bw0 / Nachlaß Bernhard / 31 - 39"
"<Bernhard>, <Henry> < <Chefredakteur der ""<Stuttgarter Nachrichten>>>","Stut5bw0 / Nachlaß Bernhard / 42"
"<Bernhard>, <Henry> < <Chefredakteur der ""<Stuttgarter Nachrichten>>>","Stut5bw0 / Nachlaß Bernhard / 47"
"<Blüthgen> < Frau>","Kass7e10 / 411 / Nr. 965"
"<Buch du Fallois> <<Verleger>>","Kref5nw0 / 70 / 060"
"<Buchhandlung >Poenicke & Sohn), Leipzig} <Antiquar in < Leipzig>>","Leip5sn0 / Tit. XLVI / Nr. 101d"
"<Corvin-Wiersbitzki>, Helene <von> < geb. Carolini>","Pots2bb0 / Rep. 30 C / Tit. 94 / 14051"
"<Cotta'sche >Buchhandlung, München} <Buchhändler in Pforzheim>","Wolf3ns0 / 211 N / III. / Nr. 63"
"<Duckheim>, Margarethe < Ehefrau>","Darm3he0 / 055 / F / 1501/48"
"<Duckheim>, Margarethe <Buchdrucker geb. Schnellbacher>","Darm3he0 / 055 / F / 1501/48"
"<Faber>, Johanna < Ehefrau>","Darm3he0 / 055 / F / 2702/11"
"<Faber>, Johanna <Buchhändler geb. Schenk>","Darm3he0 / 055 / F / 2702/11"
"<Friedland, >geborene Hoffmann, Regina Dorothea <<Stralsund> Aldermannes der Buchbinder>","Stra5mv0 / Rep. 3 / 5662"
"<Friedland, geb.>Hofmann, Regina Dorothea <Buchbinder in <Stralsund>>","Stra5mv0 / Rep. 3 / 5398"
"<Ganß>, Katharina Elisabeth < Witwe>","Darm3he0 / 055 / F / 1535/10"
"<Ganß>, Katharina Elisabeth <Buchdrucker in Lauterbach geb. Kreitzer>","Darm3he0 / 055 / F / 1535/10"
"<Grünberg>, Marie < Ehefrau>","Darm3he0 / 055 / F / 1526/3"
"<Grünberg>, Marie <Buchdrucker geb. Keßler>","Darm3he0 / 055 / F / 1526/3"
"<Heinemann>, Louise < Witwe>","Darm3he0 / 055 / F / 1760/5"
"<Heinemann>, Louise <Buchhändler geb. Reuling>","Darm3he0 / 055 / F / 1760/5"
"<Holle >, Auguste < geb. Friedemann<, Witwe des Tuchscherers Holle>>","Wolf3ns0 / 34 N / 14.16. / Nr. 2902"
"<Homilius >, Johann Traugott < Witwe< des Johann Traugott Homilius>>","Dres5sn0 / Ratsarchiv / Abt. B XVII / 196"
"<Jonghaus>, Louise Eleonore Theodore Beate < Ehefrau>","Darm3he0 / 055 / F / 2952/17"
"<Jonghaus>, Louise Eleonore Theodore Beate <Buchhändler geb. Weber>","Darm3he0 / 055 / F / 2952/17"
"<Kampfmeier>, Bernhard <stud. jur.>","Pots2bb0 / Rep. 30 C / Tit. 94 / 11112"
"<Kornfeld>, Kurt <Buchhändler>","Pots2bb0 / Rep. 30 C / Tit. 94 / 11140"
"<Krahnstöver> <<Buchbindermeister>>","Lueb5sh0 / Krahnstöver / <->"
"<Langenscheidt>, Carl Georg Felix (Dr. phil.) <Verlagsbuchhändler>","Pots2bb0 / Rep. 30 C / Tit. 94 / 11519"
"<Langenscheidt>, Franz Carl Heinrich (Dr. phil.) <Fabrikbesitzer>","Pots2bb0 / Rep. 30 C / Tit. 94 / 11519"
"<Leske>, Bernhardine <Hofbuchhändler Witwe>","Darm3he0 / 055 / F / 2112/5"
"<Leske>, Margarethe Amalie < Witwe>","Darm3he0 / 055 / F / 2157/20"
"<Leske>, Margarethe Amalie <Buchdruckereibesitzer geb. Engel>","Darm3he0 / 055 / F / 2157/20"
"<Leuthner>, Caroline < Ehefrau>","Darm3he0 / 055 / F / 2962/11"
"<Leuthner>, Caroline <Buchbindermeister geb. Wörishöfer>","Darm3he0 / 055 / F / 2962/11"
"<Mannsberger>, Louise < Witwe>","Darm3he0 / 055 / F / 2287/18"
"<Müller-Grote>, Gustav <Buchhändler>","Pots2bb0 / Rep. 30 C / Tit. 94 / 11838"
"<Otto>, Auguste <Buchhändler in in Schwerin geb. Holm>","Schw7e10 / 03 / Schwerin / 22"
"<Rabe, >geb. Engelbrecht, Anne Katherine <Buchhändler>","Marb3he0 / 259 / < - > / Nr. 442"
"<Röttcher>, Anni <<Wiesbaden> Ehefrau <von Fritz Röttcher, geb. Mertens>>","Dahl3be0 / I. HA, Rep. 84a (2.5.1.) (M) / Nr. 12862"
"<Scharmann>, Louise < geb. Siebnath>","Darm3he0 / 055 / F / 2746/4"
