" Allgemeinen Preußischen Zeitung","Dahl3be0 / I. HA, Rep. 92 Zinkeisen (M) / Nr. 37"
" Die Klage des Joh. Conrad Kühl zu Buzbach gegen den grossherzogl. hess. Minister du Thil","Stut2bw0 / Ministerium der Auswärtigen Angelegenheiten mit Gesandtschaften und Verkehrswesen, E 65 / Verz. 57, Preßgesetz, Generalia / 150"
"""1883 - 1893. 10 Jahre Missionsarbeit an der männlichen Jugend unseres Volkes. Jahrbuch des Christlichen Vereins Junger Männer zu Berlin"", Druck: Vaterländische Verlagsanstalt Berlin 1893, mit Inseraten Berliner Buchhandlungen und Verlage; ""Monatlicher Anzeiger des Christlichen Vereins Junger Männer zu Berlin"", 11. Jg., Nr. 5, Mai 1893 mit Beilage, Redaktion und Verlag Christian Phildius (CVJM); Probeheft ""Der Jünglingsverein. Eine Monatsschrift für die Leiter und Vorstände evangelischer Männer- und Jünglingsvereine"", Buchhandlung des Ostdeutschen Jünglingsverbundes Berlin 1894, mit Buchbesprechungen und -empfehlungen; ""Jahrbuch des Westdeutschen (Rheinisch-Westfälischen) Jünglings-Bundes""","Kass7e10 / 411 / Nr. 965"
"""25 Jahre Katholisches Bibel-Werk Stuttgart""","Berl7k10 / 01 / 7- / 78"
"""8 Uhr Abendblattes"" das ""Berliner Tageblatt""","Berl3be0 / 51 / Nr. 2618"
"""Abwehr-Blätter""","Berl3be0 / 51 / Nr. 1641"
"""Allgemeinen Kirchenzeitung von Darmstadt"" und der ""Neuen Speyrer Zeitung""; Verläumdung eines Konvertiten in der ""Neuen Speyrer Zeitung""; Angriffe gegen die Kirche wegen verschiedener lokaler Vorfälle; Untersuchung gegen den Pfarrer von Rheinzabern wegen in der Beichte auferlegten Geldbußen; Zensur der Wochenblätter; Verschiedene Wochenblätter, insbesondere der ""Bote für Stadt und Land, pfälzisches Volksblatt""<Wochenblatt>, Kaiserslautern 1844 - 1846; ""Pfalzbote, Anzeigenblatt für die Kantone Germersheim und Kandel<Kanton>""","Spey7k10 / 02 / Nr. 606"
"""Allgemeinen Polizey-Blätter""","Muen3nw0 / 017 / XXXI / 8"
"""Allgemeinen deutschen Hebammenzeitung""","Darm3he0 / 029 / P / 134"
"""An alle Mitglieder der roten Hilfe""<, Druckschrift>; ""Bulletin International""<, Druckschrift>","Berl3be0 / 51 / Nr. 1169"
"""An die Wahlmänner des Oberamtsbezirks Tettnang""","Stut2bw0 / Ministerium des Innern, E 146 / Zensurwesen, Pressevergehen, Beschlagnahme und Verbot von Druckschriften, Pressevergehen von Tagblättern und Zeitungen in folgenden Oberämtern / 5049 Unterfaszikel 1"
"""Andachtsübungen für die Zeit des Jubiläums, welches von Sr. Heiligkeit Papst Gregor XVI zur Beförderung des Fürbittgebets für die bedrängte Kirche in Spanien angeordnet worden ist und in der Diözese Passau vom 19. Juny - 3. July 1842 gefeyert wird""","Spey7k10 / 02 / Nr. 316"
"""Angriff""","Berl3be0 / 51 / Nr. 2589"
"""Argus""","Muen3nw0 / 014 / A / 398"
"""Bad Nauheimer Nachrichten"" und des ""Münzenberger Stadtanzeigers""","Darm3he0 / 035 / S / 3"
"""Bauernkalender""","Biel7e10 / 0441 / Abt. C / 7, Fasz. 1"
"""Bavaria"", am ""Handbuch für Moraltheologie""","Spey7k10 / 02 / Nr. 609"
"""Bayr. Annalen"", 1833 u. a., ""Gelehrte Anzeigen""","Spey7k10 / 02 / Nr. 520"
"""Bedeutet Luther noch etwas für uns?"" am Reformationstag 1937 in der Kirche zu Kirchberg (bei Lollar); in der Druckschrift Äußerungen über den Verfasser des Buches ""Protestantische Rompilger""","Darm3he0 / 051 / < - > / Nr. 692"
"""Belehrung des Bauernstandes"" - ""Über die possessorischen Klagen und über die Verträge zwischen Gutsherren und Bauern"" - ""Zum kaiserl. Dekret vom 13.9.1811""","Muen3nw0 / 078 / A / 137"
"""Berliner Gewerbe-, Industrie und Handelsblatt"" erscheinende Zeitschrift","Dahl3be0 / 1. HA Rep. 76 (M) / Vc, Sekt. 2, Tit. XXIII, Lit. A / Nr. 36"
"""Berliner-Arbeiter-Zeitung"" u. der ""Nationalistischen Briefe""","Berl3be0 / 51 / Nr. 692"
"""Bibel und Kirche""","Berl7k10 / 01 / 7- / 79"
"""Bibelblatt der Preußischen Hauptbibelgesellschaft""","Oste8e10 / 01 / <-> / 3. Kasten, linke Seite"
"""Bibliographie der Sozialwissenschaften""","Darm3he0 / 036 / B / 12"
"""Biblischen Historien""","Biel7e10 / 0413 / Abt. I A / 21. Bd."
"""Bitte an Fürsten und Stände, an begüterte Menschenfreunde und Patrioten""","Pots2bb0 / 013 / < - > / Nr. 100"
"""Blicke auf das Volkselend und die Volkssterblichkeit der deutschen Reichshauptstadt""","Beli1be0 / R 1504 / <-> / 140"
"""Bonifatiusbote""","Fuld7k10 / 01 / Generalia, 202-01 / Fasz. 1"
